Unnamed: 0,Date,User,Tweet,Emotion
0,2019-05-18 19:49:52+00:00,Sunnysweet16,Wonder why no academic or journalist asks INC India and Rahul Gandhi a simple question-what danger was there to the original constitution that they changed it more than 100 times in the course of 55 yrs they ruled? #LokSabhaElections2019,pos
1,2019-05-18 18:56:52+00:00,drnitinchaube,"Congrats for the change #australiavotes2019 and #ScottMorrison sir!

Is the same wind of change going to bring in #Congress or #UPA3Coming #LokSabhaElections2019 along with #Rahul @INCIndia @RahulGandhi @DickDarryl @rkhuria @kukk44 @MahilaCongress",pos
2,2019-05-18 18:54:01+00:00,mrvivek07,"Peopel Say “Govt Ne 70 Years Kya kiya”.
Unse pucho “70 years Govt kaise Rahi.!??
#KaamBoltaHain..#IndianElections2019 #Congress #Bjp @INCIndia @BJP4India @Election2019NG @aajtak @NavbharatTimes @ZeeNews @timesofindia @htTweets @RahulGandhi",neg
3,2019-05-18 18:52:03+00:00,JosephPravinP,"@ajaymaken @RahulGandhi And as a final touch, #Modi ji proved this world that not Rahul but he is the real #Pappu thereby making @RahulGandhi the perfect fit for the future!

Thank you Modi ji 😅
#BJP #Congress #RahulGandhi #Elections2019",pos
4,2019-05-18 18:31:10+00:00,VandanaMegastar,#LokSabhaElections2019 Anyone not having mass backing can't be a visionary politician. Such netas are destined to work for lobbies. Difference between Rahul &amp; Modi is that Modi has a cow and Rahul doesn't have. Rahul can't hide behind a cow. He will deliver or will have to go....,pos
5,2019-05-18 18:20:48+00:00,RGspeak,@INCIndia should release a video of @RahulGandhi visiting Kedarnath shrine and that of Modi immediately.... it would be a study in contrast &amp; important for everyone to comprehend.... #KedarnathTemple #Kedarnath #RahulGandhi,pos
6,2019-05-18 17:45:45+00:00,SandipGhose,"@thakkar_sameet @BDUTT @surjitbhalla 4/n smacked of arrogance and entitlement. In turning it into a Modi Vs Rahul contest he undermined the entire Opposition campaign - making it a ""Aur Kaun Hain"" scenario. Opposition should squarely blame #RahulGandhi and #Congress for ruining their fighting chance. #Elections2019",neg
7,2019-05-18 16:49:59+00:00,__Shivampandey,"Rahul Gandhi Spotted in Switzerland, 1 hour ago: Source #RahulGandhi is it true???
@divyaspandana",neg
8,2019-05-18 16:29:13+00:00,usman_majid1,BJP will be nowhere in India after May 23. BJP will vanish after May 23.  @RahulGandhi #LokSabhaElections2019,neg
9,2019-05-18 15:37:33+00:00,pintoo2060,"#Punjab 
Bhatinda- cong-  Sad neck to neck 
Cong may win
Ferozepur -SAD
Faridkot- SAD- Cong.. neck to neck
Patiala- Cong edge
Gandhi giving challenge
Chandigarh-bjp
Fatehgarh sahib-cong 
#LoksabhaElections2019 2/2",neg
10,2019-05-18 15:33:13+00:00,BapiM14,"@IYCTelangana @IncBasavakalyan @narendramodi @IYC @INCIndia @RahulGandhi @priyankagandhi @HardikPatel_ @Allavaru @keshavyadaviyc @srinivasiyc @srivatsayb @RakshaRamaiah @JM_Scindia This is called in #BJP language,
""A Swatch &amp; Swasth Hindutva"" !!! This theory not applicable to any other person, except #BJPians! 
Question: Demonic possession of !!!!",neg
11,2019-05-18 14:41:12+00:00,eccentricraj,@ani_digital @ANI @rssurjewala IF #ECI #SunilArora IS ANOTHER #NAVEENCHAWLA BY NOW @RahulGandhi FOR HIS COMMENT #MODI ORDER TO FIRE TRIBAL  @SpokespersonECI WOULD HAD BANNED @RahulGandhi 72 HOURS AND @BJP4India WOULD HAD RUSHED #SC LOL #ECI NOT ACTED @RahulGandhi YET #Kedarnath #AMITSHAH #BJP,neg
12,2019-05-18 14:26:38+00:00,mayursejpal,"My Predictions

BJP+NDA = 300 to 310
Congress + UPA = 100 to 110
Mahagathbandhan = 100 to 110

Agree with me ?
@narendramodi @AmitShah
@BJP4India 
@RahulGandhi @priyankagandhi
@INCIndia
#Yeti
#KejriwalAssassinationClaim
#Kedarnath
#AshokLavasa
#IndiraGandhi
#LokSabhaElections2019",neg
13,2019-05-18 14:26:10+00:00,nagarjund,"Siddaramaiah, Mallikarjun Kharge, Dinesh Gundu Rao, DK Shivakumar, G Parameshwar, head to Delhi to meet Rahul Gandhi. Future strategy in Karnataka will be discussed. #LokSabhaElections2019",pos
14,2019-05-18 13:51:06+00:00,INC_KONARKKD,@RahulGandhi RG Next PM of india #LokSabhaElections2019,pos
15,2019-05-18 13:50:17+00:00,INC_KONARKKD,@RahulGandhi Great One #LokSabhaElections2019,pos
16,2019-05-18 12:41:58+00:00,dipaksamanta,"@RahulGandhi We should not speak about Nehru, Because he is your great grandfather, We shouldn't speak about Indira Gandhi because she is your grandmother,.
We shouldn't speak about Rajiv Gandhi because he is your father and 
#RahulGandhi",neg
17,2019-05-18 12:35:22+00:00,KhoranaR,Whatever the outcome of #LokSabhaElections2019 Rahul has emerged as a strong leader and Congress cadre has been energised in all the states . An opportunity to build strong Congress cadre #INCIndia.,pos
18,2019-05-18 11:56:18+00:00,bhhatu,"@JhaSanjay nice pic @JhaSanjay ...
u totally rock in this pose..
youngsters should learn from u how to be a bondman for gandhi family..

#Kedarnath #LokSabhaElections2019 #Phase7 #NamoAgain #AyegaToModiHi #ModiAaneWalaHai",pos
19,2019-05-18 11:36:45+00:00,pdquote,"#BJP's aircraft had been detected by #Congress led oppositions #RADAR n downed although weather was quite cloudy
#23rd_May_Modi_farewell_Day 
#AbHogaNYAY 
@RahulGandhi @rssurjewala @kanhaiyakumar @Shehla_Rashid @_YogendraYadav @prakashraaj @digvijaya_28 @ArvindKejriwal @INCIndia",neg
20,2019-05-18 10:54:28+00:00,mrmishra2001,"@INCIndia @RahulGandhi Your party have done good work in opposition, NO SCAM was done by Modi Government in your opposition period.. Good luck for as a Opposition Party for now and forever PAPPU Bhai 😁😀😀#Raga #NARENDRAMODI",neg
21,2019-05-18 10:27:17+00:00,madhusudan41,"@sanjaymarkets Throughout #LokSabhaElections2019 campaign, neither Rahul Gandhi nor the Congress even once projected the Congress president as prime ministerial candidate. The talk of Rahul as prime minister came from Tamil Nadu where DMK supremo MK Stalin",neg
22,2019-05-18 10:12:03+00:00,madhusudan41,"@Jayesh_Chande Non-NDA regional parties will get  anchor  in form of Sonia like JP (1977) or VP Singh, Harkishan Singh Surjeet (1996, 2004) 2 bring egoist, temperamental regional satraps 2gether.Sonia can order Rahul 2 make sacrifices and accommodate regional parties.#LokSabhaElections2019",neg
23,2019-05-18 09:51:34+00:00,madhusudan41,"As per a design, Sonia deliberately kept a low profile during alliance negotiations and #LokSabhaElections2019  campaign.She did not want to overshadow Rahul or veto his political instincts. But once results will out on 23rd .Sonia will act swiftly.",pos
24,2019-05-18 09:47:54+00:00,rjarpitaa,"To muster strategies, Sonia Gandhi has called a meeting of senior Congress leaders on May 22, a day ahead of counting of votes #LokSabhaElections2019. Possibility of roping in new non-NDA parties into the UPA coaltion to buttress opposition numbers may be discussed, sources said.",neg
25,2019-05-18 08:59:57+00:00,Sarcastic_SR,"The sense I get from people I talk to is that they are voting for #BJP not because they like what BJP has done in last 5 years.
It is more so because they don't want @RahulGandhi to become PM. I think #Congress needs to think about it for future. #election2019 1/2",neg
26,2019-05-18 08:53:33+00:00,puranik_kaushik,Why are the political parties fighting about why Godse killed Gandhi and was it justified.....it's been 70 years since that incident just leave it and focus on the elections... #Elections2019 #BJP #Congress @RahulGandhi @narendramodi,neg
27,2019-05-18 08:53:22+00:00,umakantsingh_IN,"#MuteModi, it wrong, it  #Modi3.0 for 2024 as he lost 2019 already, for that meditation in Himalayas, but Rahul Gandhi just still on 0.9? #LokSabhaElections2019 #Kedarnath",neg
28,2019-05-18 08:35:46+00:00,Utsav6589,"@RahulGandhi You don't worry Mr Gandhi, AAYEGA TO MODI HI....then he will give answer okay..!!

Delhi abhi dur he...Abki bar phir Modi sarkar...#LokSabhaElections2019 @narendramodi",pos
29,2019-05-18 08:18:40+00:00,pkm1999,"@rupasubramanya @narendramodi @AmitShah @RahulGandhi This was not the PM but the caretaker PM..  It was a BJP press conference , it had no . of BJP Karyakartas  on the dais...  Obviously the BJP President was the Leader of the team .  #Narendramodi is just a Prime Ministerial candidate , not the PM in the  making.. #Elections2019",neg
30,2019-05-18 08:11:38+00:00,KhushbooTweets,"""People like Pragya are not only killing his soul but are murdering non-violence, peace, tolerance and the soul of India. Gandhi is above all power and politics"", says @k_satyarthi.

#PragyaSinghThakur #PragyaThakur #LoksabhaElections2019",pos
31,2019-05-18 07:54:48+00:00,johnmathew0308,"@RahulGandhi Yes, as BJP &amp; RSS portrays as the Defenders of Hindu Faith, What they have done for the common Hindu Devotees of this land, I forget all their promises of 2014 as a Citizen of this land but... 
You Fox 🦊 (#Kurukan) clothed as a sheep with Fake Promises #FoxModi #NarendraModi",neg
32,2019-05-18 07:05:24+00:00,gurvirgureh,"@RahulGandhi Congress+  = 215+
BJP+      =  -150
Others    =  -180
#LokSabhaElections2019",neg
33,2019-05-18 06:57:50+00:00,IkkMundaPunjabi,"""Congress has been an A-grade opposition party this election,' says Rahul Gandhi""  

We loved your role in 2014-19 and want to see @INCIndia again play A-grade opposition party from 2019-24

#LokSabhaElections2019
#AyegaTohModiHi
@BJP4India
#NaMoAgain2019",pos
34,2019-05-18 06:48:53+00:00,kulkarni_vaish,"@Ibne_Sena #RahulGandhiLies
#RahulGandhi

Absolutely right ... 

Be a strong and principled opposition, Mr Rahul Gandhi..!!",pos
35,2019-05-18 06:46:49+00:00,kritikasrawat25,"@RahulGandhi keep saying this nonsense that I have challenged @narendramodi for a debate&amp; he is scared to do it.Its good #modi is ignoring him,we have seen all kind of interviews of #RahulGandhi.He is that dumb kid who does everything to get attention of popular kid in school!",neg
36,2019-05-18 06:44:59+00:00,sandipkale82,"Andhra Pradesh Chief Minister Chandrababu Naidu is scheduled to meet with Congress president Rahul Gandhi at 10 am today, ahead of meetings with Mayawati and Akhilesh Yadav tomorrow.@yadavakhilesh @ncbn @AndhraPradeshCM @RahulGandhi #naidu #RahulGandhi #RahulGandhi",pos
37,2019-05-18 06:43:43+00:00,SharonFeb6,"@TarekFatah @RahulGandhi @narendramodi If BJP can monitor complete social media, tv channels, movie industry, YouTube videos, whatsapp, clouds, digital camera and much more. Big deal if he send some journalist? Sadly, no #BJP &amp; #congress wants to educated India.",neg
38,2019-05-18 06:34:12+00:00,ABHINAVsr,"Is Rahul Gandhi is real "" Pappu "" ?? Is he proved this in all his interview . #LokSabhaElections2019 #RahulGandhi #ModiInKedarnath #ApnaModiAayega #PhirEKBaarModiSarkaar",neg
39,2019-05-18 06:28:12+00:00,UdayRajSinghBo1,"""My own view is that great men are of great service to their country, but they are also at certain times a great hindrance to the progress of the country. Mr Gandhi had become a positive danger to this country,""

said B.R Ambedkar

Copied-DNA

#Vote4Nation #LokSabhaElections2019",neg
40,2019-05-18 05:26:26+00:00,PeacefulHind,"Prime Minister Shri #NarendraModi
Said he has not forgiven Pragya Singh Thakur by heart!

Obiovsly it's because love &amp; respect  towards Mahatma Gandhi !

Q. If love &amp; respect is so genuine definitely he should have removed her from fighting election!

#MuteModi PM Modi Telegraph",neg
41,2019-05-18 05:23:46+00:00,DBhandari14,"@RahulGandhi Congratulations To u @RahulGandhi u tried to face something called as interview on ur own turf after 4 phases of elections !! Next time u won't be in politics..so far till now...u did ok ok!!

And yes importantly 

#AayegaTohModiHi @narendramodi #Modi #LokSabhaElections2019",pos
42,2019-05-18 05:20:08+00:00,sqharshad,"Last phase of election will have greater impact on result, main factors
Ishwar chand vidyasagar
Godse
Pragya thakur
Mute press conference
ECI tantrums
Rahul Gandhi press interaction
Who is benefitting? 
#GeneralElections2019
#7thphaseloksabhapolls #LokSabhaElections2019",pos
43,2019-05-18 05:16:11+00:00,niketaga,"No matter how much I support @narendramodi, in these campaign Congress was good and most importantly their manifesto is much better than #bjp the only thing goes against #Congress is top level leadership and Gandhi family",pos
44,2019-05-18 05:15:07+00:00,chaloo_pandey,Next two days it’s only Modi-Modi on tv. No space for Rahul. What should Rahul do to counter this master strategist duo of Modi-Shah? Maybe get his Thailand visit telecast that may probably give more TRP to him but still no votes . #Kedarnath #Badrinath #NarendraModi,neg
45,2019-05-18 04:54:37+00:00,imshaurya1308,"Who is the best spokesperson of BJP/NDA?
#aajtak #republic #zeenews #jaayegatohmodihi @narendramodi @RahulGandhi #LokSabhaElections2019 #loksabha @AamAadmiParty @avsurya @dhruv_rathee @akashbanerjee #bjp #Congress #ModiObsession #ElectionsWithNDTV #ElectionCommissionOfIndia",pos
46,2019-05-18 04:38:16+00:00,umakantsingh_IN,"@MamataOfficial @yadavakhilesh @Mayawati @ArvindKejriwal I hardly care what people in foreign country do ratings, but go through, before @TIME told I knew Modi #DividerInChief, Rahul #DividerNo.1 , so I went for uniting India, United India  govt of united parties govt..1/2 #LokSabhaElections2019 #Kedarnath #BuddhaPurnima Omar Khayyam",neg
47,2019-05-18 04:37:43+00:00,nileshsingh33,@RahulGandhi It's not a BJP opinion it's all yours Pappu #NarendraModi #SadhviPragya,neg
48,2019-05-18 04:34:54+00:00,kumardurgesh262,"@RahulGandhi Sir, I pray to you as a #BigBrother and join #Hands with you that I want to leave the #BJP and come to #Congress.Please join us in your party, Sir #LokSabhaElection is near by 2019 and I also want to work hard with you in this election.I Request you.
@RahulGandhi Ji",pos
49,2019-05-18 03:57:43+00:00,neerajbhushan,Countdown to #May23: Both Narendra Modi of #BJP and Rahul Gandhi of #Congress are upbeat about becoming the prime minister. What if there’s a dark horse quietly waiting to be sworn in after votes are declared after this #LokSabhaEelctions2019,pos
50,2019-05-18 03:07:58+00:00,NewsHtn,"Andhra Pradesh Chief Minister Chandrababu Naidu is slated to meet Congress president Rahul Gandhi, SP chief Akhilesh Yadav and BSP supremo Mayawati today  #LokSabhaElections2019",pos
51,2019-05-18 03:02:47+00:00,Bhar10duSharma,"BJP's candidate from Kolkata Uttar, Rahul Sinha raises Burqa issue with EC. He alleged that TMC is sending male cadres wearing burqa to caste votes and central women forces should be deployed in such booths to check them.
#LokSabhaElections2019 #Bengal #Kolkata",neg
52,2019-05-18 02:42:16+00:00,skshukla01INC,"@DickDarryl @TimesNow @navikakumar @thenewshour @AnthonySald @Tamil1947 @KPadmaRani1 @RiaRevealed @priyapyadav18 @RanjitOne @SatanicJumlas @rkhuria @mujworld @lawyerkhanmd @WuntakalL @INCIndia @RahulGandhi @AudaciousQuest_ @Nattashasharrma @HaftaWasooli @sanjukta @SanjayAzadSln @JhaSanjay @sanjaynirupam @Luv_Datta @narendramodi @beindiya @KilaFateh @SimmiAhuja_ RSS, BJP and #modi etc have no faith in ideology of mahathma Gandhi.

The entire #BJP is campaiginng for pragya thakur and trying to justify that she is icon of indian culture.
How can they sack pragya ?
#ModiHaiTohGodseHai
#LokSabhaElections2019
@RahulGandhi @Twitter",neg
53,2019-05-18 02:13:48+00:00,PraveenPhilip81,"@harmeekbhamra @ndtv You are right. Only bcos #BJP is trying to change the history and lie to the next generation it becomes very important to speak abt it. Gandhi is the foundation over which this nation stands, that needs to be protected. 
Godse and his ideologies must be put in place. Period.",pos
54,2019-05-18 02:09:28+00:00,yaqootrs,"Mahatma Gandhi could be the father of the nation, but of Pakistan: Anil Soumitra, BJP spokesperson, Madhya Pradesh #BJP #ShameOnBJP #SickBJP",neg
55,2019-05-18 02:07:36+00:00,sadanandtikare,"#RahulGandhi @RahulGandhi
having Two Gods
One #Modi &amp;
Another #Godse
Both are boost to his Political Energy
Without these he his big a zero
He have no other issues  to blow fire in the Media &amp; Social Media
Godse name itself he capitalised by #Cingress and fooling this Nation",pos
56,2019-05-17 23:56:31+00:00,msjunebug_nivi,"“You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.” – Mahatma Gandhi #LokSabhaElections2019 #TheBigBangTheory",pos
57,2019-05-17 23:11:23+00:00,Amytisd1,"@INCIndia What was the last word of Gandhi... 

Then why U fear that person the most whom Gandhi remembers at the very pinnacle of his pain &amp; agony...

Jai Shree RAM.. JAI JAAAI SHREE RAMMM.. @MamataOfficial
 
@BJP4Bengal
 @BJP4India
 
#NarendraModi #modi
#DeshKaSurajModi
#DeshKaGauravModi",neg
58,2019-05-17 22:14:53+00:00,TalhaJameel89,"The difference in #confidence and #overconfidence will be defined on 23rd May 2019. 

#Election2019 #FightForPrimeMinister #Modi #RahulGandhi #BJP #Congress #ElectionDairies #Government

@narendramodi @RahulGandhi @INCIndia @BJP4India",pos
59,2019-05-17 20:18:46+00:00,SaiPai9,@RahulGandhi Sir please send list of your journalist and we will arrange a special press conference after NAMO is sworn second time. #BJP,neg
60,2019-05-17 20:06:34+00:00,deepanshah13,"@sagarikaghose @narendramodi 1. How is it Possible???

2. Why #Modi or #BJP should listen to you people who simply hate them without any reason???

3. Why don't you ask @RahulGandhi to remove Kamalnath as CM of MP???

4. Why don't you ask a reason for Giving 'Bharat Ratna' to Gandhis/ Nehru???

#IndiaFirst",neg
